Author ID,google_citations,google_hindex,afiliasi_name
5972563,2468,20,Institut Pertanian Bogor
6029466,211,7,Universitas Gadjah Mada
5988299,143,5,Universitas Brawijaya
5975409,28,4,Universitas Sebelas Maret
6043186,108,4,Universitas Sebelas Maret
6038444,233,7,Universitas Gadjah Mada
5989443,101,5,Universitas Brawijaya
5980776,105,5,Universitas Padjadjaran
5975606,61,4,Universitas Prof Dr Hazairin SH
6096994,25,2,Universitas Brawijaya
6010907,23,2,Universitas Andalas
5982992,11,2,Universitas Sebelas Maret
5977068,343,5,Universitas Tadulako
6012569,192,6,Universitas Jambi
6031326,294,8,Universitas Gadjah Mada
5979567,168,6,Institut Pertanian Bogor
5994740,86,6,Universitas Sumatera Utara
65248,136,7,Universitas Padjadjaran
5992782,3,1,Universitas Andalas
6006002,319,8,Universitas Gadjah Mada
6009380,22,2,Universitas Islam Sumatera Utara
53645,240,8,Universitas Sriwijaya
6046507,12,2,Politeknik Pertanian Negeri Kupang
6126377,6,2,Universitas Sultan Ageng Tirtayasa
80058,3,1,Universitas Musamus Merauke
6671973,55,3,Badan Penelitian dan Pengembangan Pertanian Kementerian Pertanian
6040719,50,4,Universitas Gadjah Mada
257706,108,6,Universitas Lampung
56900,53,5,Universitas Sumatera Utara
6124496,163,4,Universitas Sumatera Utara
5987334,70,5,Universitas Padjadjaran
6072393,27,4,Universitas Sebelas Maret
5999231,7,2,Universitas Jenderal Soedirman
6090913,1002,17,Universitas Sriwijaya
5993158,3,1,Universitas Muhammadiyah Sidoarjo
5997429,2,1,Universitas Muhammadiyah Sidoarjo
5990668,21,2,Universitas Nusa Cendana
6199576,99,5,Institut Teknologi Bandung
5993137,2,1,Universitas Muhammadiyah Sidoarjo
6031140,244,8,Universitas Brawijaya
6016070,52,5,Universitas Hasanuddin
6647052,9,2,Universitas Sebelas Maret
5975609,23,2,Universitas Mulawarman
5977882,379,11,Universitas Udayana
6172616,29,4,Universitas Papua
5993455,31,3,Universitas Brawijaya
5993457,0,0,Universitas Brawijaya
6650898,8,2,Universitas Sebelas Maret
6014871,4,1,Universitas Hasanuddin
6018183,28,2,Universitas Hasanuddin
